ware_number,candy_name,store_number
1,Twinkle,2
1,Dairy Milk,2
1,Aztec,2
1,Cliff,2
1,Sour Heads,2
1,Twix,2
1,Snickers,2
1,Milky Way,2
1,Skittles,2
1,Trolli,2
1,Dove,2
1,Maltesers,2
1,Do-Nut,2
1,Cracked,2
1,Choco,2
1,Twinkle,4
1,Dairy Milk,4
1,Aztec,4
1,Cliff,4
1,Sour Heads,4
1,Twix,4
1,Snickers,4
1,Milky Way,4
1,Skittles,4
1,Trolli,4
1,Dove,4
1,Maltesers,4
1,Do-Nut,4
1,Cracked,4
1,Choco,4
1,Twinkle,5
1,Dairy Milk,5
1,Aztec,5
1,Cliff,5
1,Sour Heads,5
1,Twix,5
1,Snickers,5
1,Milky Way,5
1,Skittles,5
1,Trolli,5
1,Dove,5
1,Maltesers,5
1,Do-Nut,5
1,Cracked,5
1,Choco,5
2,Twinkle,1
2,Dairy Milk,1
2,Aztec,1
2,Cliff,1
2,Sour Heads,1
2,Twix,1
2,Snickers,1
2,Milky Way,1
2,Skittles,1
2,Trolli,1
2,Dove,1
2,Maltesers,1
2,Do-Nut,1
2,Cracked,1
2,Choco,1
2,Twinkle,3
2,Dairy Milk,3
2,Aztec,3
2,Cliff,3
2,Sour Heads,3
2,Twix,3
2,Snickers,3
2,Milky Way,3
2,Skittles,3
2,Trolli,3
2,Dove,3
2,Maltesers,3
2,Do-Nut,3
2,Cracked,3
2,Choco,3
2,Twinkle,5
2,Dairy Milk,5
2,Aztec,5
2,Cliff,5
2,Sour Heads,5
2,Twix,5
2,Snickers,5
2,Milky Way,5
2,Skittles,5
2,Trolli,5
2,Dove,5
2,Maltesers,5
2,Do-Nut,5
2,Cracked,5
2,Choco,5
3,Twinkle,1
3,Dairy Milk,1
3,Aztec,1
3,Cliff,1
3,Sour Heads,1
3,Twix,1
3,Snickers,1
3,Milky Way,1
3,Skittles,1
3,Trolli,1
3,Dove,1
3,Maltesers,1
3,Do-Nut,1
3,Cracked,1
3,Choco,1
3,Twinkle,2
3,Dairy Milk,2
3,Aztec,2
3,Cliff,2
3,Sour Heads,2
3,Twix,2
3,Snickers,2
3,Milky Way,2
3,Skittles,2
3,Trolli,2
3,Dove,2
3,Maltesers,2
3,Do-Nut,2
3,Cracked,2
3,Choco,2
3,Twinkle,3
3,Dairy Milk,3
3,Aztec,3
3,Cliff,3
3,Sour Heads,3
3,Twix,3
3,Snickers,3
3,Milky Way,3
3,Skittles,3
3,Trolli,3
3,Dove,3
3,Maltesers,3
3,Do-Nut,3
3,Cracked,3
3,Choco,3
