candy_name,sweet,bitter,k_approved,type,salty,chocolate,crunchy,chewy,sour
Twinkle,8,1,yes,hard,2,1,7,1,1
Dairy Milk,6,4,yes,bar,1,9,1,1,1
Aztec,5,3,no,nutty,5,2,8,5,1
Cliff,4,2,no,energy bar,3,5,3,7,1
Sour Heads,3,8,no,sour,2,1,1,1,9
Twix,7,2,no,choclate,1,6,8,5,1
Snickers,6,2,no,replacement,1,5,8,7,1
Milky Way,4,1,yes,nougat,1,3,2,8,1
Skittles,9,1,yes,chewables,1,1,3,8,2
Trolli,5,1,yes,chewables,1,1,3,8,8
Dove,4,3,no,bar,1,7,6,4,1
Maltesers,5,3,no,bites,7,6,8,4,1
Do-Nut,7,1,yes,donut,2,5,1,3,1
Cracked,4,1,no,hard,1,1,8,1,6
Choco,8,5,no,bar,5,5,5,5,5
