candy_name,calories,tot_fat,sat_fat,cholesterol,sodium,tot_carbs,diet_fiber,tot_sug,protein
Twinkle,6000,500,0,20,50,4,50,5000,50
Dairy Milk,200,11,7,10,17,23,0,22,3
Aztec,150,2,1,5,25,36,7,25,5
Cliff,260,7,2,0,240,41,4,21,9
Sour Heads,130,0,0,0,7,87,2,45,6
Twix,180,5,0,0,7,4,7,37,4
Snickers,190,7,0,3,7,8,4,5,6
Milky Way,200,6,0,0,7,6,4,7,3
Skittles,175,5,0,0,7,6,4,7,3
Trolli,50,5,0,0,7,6,4,7,3
Dove,70,5,0,0,7,6,4,7,3
Maltesers,56,5,0,0,7,66,4,7,3
Do-Nut,76,5,0,0,7,6,44,7,3
Cracked,34,5,0,0,7,6,4,7,3
Choco,65,5,0,0,7,6,4,7,3
