ware_number,candy_name,total,for_shipping,ship_stores,ship_cust,handling
1,Twinkle,2687,1349,378,971,1338
1,Dairy Milk,2373,582,49,533,1791
1,Aztec,2743,1830,1700,130,913
1,Cliff,5248,3707,2610,1097,1541
1,Sour Heads,6336,4533,3173,1360,1803
1,Twix,8441,8059,3263,4796,382
1,Snickers,6776,3632,2566,1066,3144
1,Milky Way,1608,1076,259,817,532
1,Skittles,9249,4938,2949,1989,4311
1,Trolli,865,50,4,46,815
1,Dove,8306,1403,1307,96,6903
1,Maltesers,8613,6398,5731,667,2215
1,Do-Nut,6760,6597,5570,1027,163
1,Cracked,4485,1360,665,695,3125
1,Choco,9494,9430,4652,4778,64
2,Twinkle,2299,1541,1235,306,758
2,Dairy Milk,12855,4946,3885,1061,7909
2,Aztec,11511,5227,860,4367,6284
2,Cliff,11650,7403,1451,5952,4247
2,Sour Heads,16932,3568,1100,2468,13364
2,Twix,13951,2593,2524,69,11358
2,Snickers,3112,2980,1554,1426,132
2,Milky Way,15655,3602,3183,419,12053
2,Skittles,12087,10015,2295,7720,2072
2,Trolli,4006,3471,2373,1098,535
2,Dove,6543,2697,270,2427,3846
2,Maltesers,11498,9110,1683,7427,2388
2,Do-Nut,9491,7596,4180,3416,1895
2,Cracked,10415,4771,941,3830,5644
2,Choco,6200,1994,1573,421,4206
3,Twinkle,19100,14087,5426,8661,5013
3,Dairy Milk,24447,7668,6546,1122,16779
3,Aztec,20943,7781,3059,4722,13162
3,Cliff,22558,16360,3212,13148,6198
3,Sour Heads,9030,6110,1662,4448,2920
3,Twix,15725,10341,8648,1693,5384
3,Snickers,11529,3400,2538,862,8129
3,Milky Way,4150,2766,2464,302,1384
3,Skittles,19366,2659,793,1866,16707
3,Trolli,20728,5195,643,4552,15533
3,Dove,10019,1720,550,1170,8299
3,Maltesers,16053,5392,312,5080,10661
3,Do-Nut,22565,14696,11826,2870,7869
3,Cracked,18549,12437,10659,1778,6112
3,Choco,26373,11256,6914,4342,15117
